id;title;summary;severity;description;external_url;enabled
1;action-items Frozen;Configuration;MAY;calculating;Investment Account turn-key Eritrea;false
2;Borders;Falkland Islands (Malvinas) payment cutting-edge;MUST;Awesome Soft Ball;Won;false
3;Group;Checking Account;MUST;Village Reactive;Optimization Intelligent calculate;true
4;input online Loop;compress connect;MUST;Wooden;Interactions bypass;true
5;Panama programming Persevering;synthesize Manager;MUST;Missouri Bedfordshire program;Incredible Frozen Fish brand;false
6;Functionality calculating recontextualize;Cambodia;SHOULD;silver Refined Virginia;deposit calculating non-volatile;false
7;Global Wooden real-time;1080p;HINT;invoice Unions navigate;feed compelling;false
8;Robust impactful;Moldovan Leu Credit Card Account;HINT;Borders process improvement;Saint Lucia Small Cotton Bacon;false
9;transitional;Bolivar Fuerte;MUST;Kuwaiti Dinar fuchsia Refined Frozen Keyboard;impactful back up;false
10;Savings Account payment Keyboard;Liaison relationships;SHOULD;Illinois invoice quantify;Armenian Dram niches;true
