id;jhi_key;title;sub_title;nav_title;content;created_on;created_by
1;maroon holistic robust;quantify;visualize;Principal;Automotive interface circuit;2020-12-23T01:38:09;methodology East Caribbean Dollar
2;Pizza;sensor parsing;Bedfordshire;Mandatory;Outdoors Home Loan Account sensor;2020-12-23T10:45:08;applications Cambridgeshire
3;Quality;encoding definition;Steel Associate Team-oriented;scalable;panel;2020-12-23T13:53:18;bypass Small Wooden Car users
4;Intelligent Cotton Car Iraq;Incredible Plastic Sausages Czech Republic;1080p;COM virtual Consultant;Tactics Reverse-engineered;2020-12-23T13:17:23;e-services
5;EXE Credit Card Account;auxiliary Frozen;Lek Buckinghamshire Awesome;Gorgeous;Mandatory;2020-12-23T07:15:51;e-commerce CSS Gorgeous Granite Cheese
6;Credit Card Account;Gorgeous capacitor Sports;Utah Sleek Hat;Lebanese Pound Frozen;Soft Borders Oregon;2020-12-23T08:59:31;Bedfordshire Factors
7;executive;distributed Borders Infrastructure;capacitor Checking Account Tonga;Antigua and Barbuda transmit;Money Market Account deposit;2020-12-23T03:06:24;Minnesota
8;European Monetary Unit (E.M.U.-6) Central;Home Loan Account Automotive;Highway Beauty;invoice Toys;Outdoors users;2020-12-22T18:14:31;bricks-and-clicks Reduced content
9;primary;Avon;navigate monetize;Home;white calculating;2020-12-23T11:44:30;Steel Metal
10;Gorgeous Frozen Shoes Internal e-tailers;Montana robust;SQL;mobile solid state;Saint Martin Clothing Steel;2020-12-22T18:49:46;Small Soft Cheese Alaska
