id;name;title;sub_title;nav_title;content;default_portal_id
1;orchestrate Bedfordshire;Borders array circuit;input;Grocery Rubber projection;../fake-data/blob/hipster.txt;1
2;markets Baby;Borders pixel Tasty;Program copy Cape;transmitter;../fake-data/blob/hipster.txt;2
3;XSS;parsing;collaborative;robust;../fake-data/blob/hipster.txt;3
4;impactful human-resource;Data;quantifying bypassing drive;optimize;../fake-data/blob/hipster.txt;4
5;Soft;Island Principal TCP;Shoes;Auto Data Grass-roots;../fake-data/blob/hipster.txt;5
6;Enterprise-wide ivory neural;fuchsia Manat;Card;input Fresh;../fake-data/blob/hipster.txt;6
7;compressing User-centric;neural-net;Books ubiquitous;neural;../fake-data/blob/hipster.txt;7
8;deposit Fish;white;Customer-focused SQL redundant;SQL bluetooth drive;../fake-data/blob/hipster.txt;8
9;Dollar;Fresh;indexing brand overriding;Infrastructure Markets;../fake-data/blob/hipster.txt;9
10;Internal enhance Administrator;Sleek Division;Supervisor Mouse innovative;Egyptian;../fake-data/blob/hipster.txt;10
