id;jhi_key;name;version;title;icon;open_api;description;created_on;created_by;checksum;filename;valid;jhi_order;parse_error;external_docs;hide;grade;backwards_compatible;changed;source_path;source_name;source_url;source_created_by;source_created_on;source_last_modified_on;source_last_modified_by;portal_id;capability_id;product_id;spec_type_id;service_definition_id
1;deposit back up;Concrete Grenada neural;Personal Loan Account;Fiji;Cheese Skyway;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-22T23:08:21;Causeway;synthesize;Avon Generic Rubber Chicken Singapore Dollar;false;19486;../fake-data/blob/hipster.txt;Home;false;conglomeration application;true;false;Netherlands District New York;Beauty Agent;visualize Fresh Lake;web-enabled violet Valleys;2020-12-23T05:16:27;2020-12-22T11:57:02;program;1;1;1;1;1
2;Cambridgeshire clicks-and-mortar;Inlet deposit;protocol SCSI;grey Investment Account Personal Loan Account;Squares;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-23T07:21:18;invoice Avon Wyoming;quantifying alarm SDD;Dobra feed EXE;false;25959;../fake-data/blob/hipster.txt;RAM;false;fuchsia generating;true;false;Licensed Iceland;Strategist client-driven;Games;Lebanon deposit;2020-12-23T08:40:51;2020-12-22T16:40:34;invoice e-commerce Practical Steel Mouse;2;2;2;2;2
3;bandwidth COM;reintermediate methodologies Operations;Small Ball;Club Yuan Renminbi Unbranded Fresh Car;withdrawal Brunei Darussalam;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-22T11:50:33;Fantastic Bacon;Bedfordshire back-end New Mexico;maximize Architect Nebraska;true;74951;../fake-data/blob/hipster.txt;Mission Buckinghamshire;false;actuating;true;false;Factors;payment Dynamic;focus group withdrawal Handmade Fresh Fish;Auto Loan Account navigate;2020-12-22T14:00:57;2020-12-23T09:34:56;applications exploit;3;3;3;3;3
4;morph initiative logistical;backing up Connecticut Ameliorated;moderator Avon bricks-and-clicks;Small;bricks-and-clicks;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-23T06:10:27;Solutions strategy Borders;synthesize programming;copying Auto Loan Account alarm;false;21411;../fake-data/blob/hipster.txt;Hat;false;Connecticut;true;true;payment;exploit withdrawal Legacy;Planner driver website;CSS;2020-12-23T00:54:19;2020-12-22T23:58:11;Virginia e-enable;4;4;4;4;4
5;JBOD;transition;invoice;Kids digital;Somali Shilling gold;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-23T06:49:58;synergistic Vermont;e-tailers Electronics;transition feed Granite;true;18174;../fake-data/blob/hipster.txt;French Polynesia;false;input olive redundant;true;true;parsing Generic;Central;bandwidth;Money Market Account Handcrafted e-business;2020-12-22T13:22:36;2020-12-23T04:49:29;Hungary South Carolina Object-based;5;5;5;5;5
6;deposit 24/365;Berkshire;PCI impactful;system Communications;transmit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-23T07:55:59;Rustic Borders;Louisiana;Intelligent Plastic Car;false;92550;../fake-data/blob/hipster.txt;benchmark;true;Movies Division;true;false;Consultant;Japan;Practical Fresh Bike solid state Car;Kentucky THX;2020-12-23T08:50:45;2020-12-22T15:29:56;focus group Fresh;6;6;6;6;6
7;withdrawal;Health;Synchronised;channels supply-chains Chief;Incredible;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-23T03:08:51;generate Senior;Ergonomic;Specialist Fantastic Western Sahara;true;97054;../fake-data/blob/hipster.txt;Assurance;true;AI Ball;false;true;Mouse generate Officer;Handmade;Burg Awesome;syndicate CSS;2020-12-22T12:15:40;2020-12-22T19:19:34;Face to face;7;7;7;7;7
8;collaborative;panel Florida;even-keeled payment Small Plastic Chair;Liaison Steel Refined;Global Berkshire deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-22T11:53:37;IB;generating static;Money Market Account Manager International;false;4312;../fake-data/blob/hipster.txt;Sleek scale parse;false;copying B2B;false;true;Cotton withdrawal;Handmade Ball FTP;paradigm Mountain;convergence maximize;2020-12-22T10:28:38;2020-12-22T14:02:55;embrace Greece;8;8;8;8;8
9;Home Loan Account Granite;Stand-alone Cambridgeshire;Rustic value-added override;implement payment Shirt;Colorado Auto Loan Account service-desk;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-22T18:07:20;Utah navigating;Strategist Self-enabling;Facilitator;true;8262;../fake-data/blob/hipster.txt;Michigan;false;Ohio capacity bandwidth-monitored;true;false;Netherlands Antilles architect;Ferry Engineer Future;Developer Kansas database;Corporate;2020-12-22T19:16:55;2020-12-22T10:58:22;Shoes Bedfordshire COM;9;9;9;9;9
10;Pizza;protocol;transmitter;Consultant;parse Mouse Mouse;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-12-22T14:16:02;Accountability Tuna;strategic;Central African Republic Metal;true;88533;../fake-data/blob/hipster.txt;Licensed Fresh Sausages;false;Supervisor;false;false;efficient withdrawal COM;salmon navigate;impactful;Kids;2020-12-23T06:03:04;2020-12-22T11:36:35;circuit Electronics Agent;10;10;10;10;10
