id;jhi_key;name;jhi_order;sub_title;content;created_on;created_by;hide;product_id
1;Highway Lesotho;FTP SMS program;21070;Awesome;../fake-data/blob/hipster.txt;2021-07-28T15:02:50;Borders;true;1
2;Clothing magnetic;Assurance Global card;52375;Jersey paradigms;../fake-data/blob/hipster.txt;2021-07-28T12:27:17;indexing;true;2
3;SCSI TCP;Junctions benchmark infrastructures;4628;Refined;../fake-data/blob/hipster.txt;2021-07-28T17:34:56;Credit olive Cotton;false;3
4;Rustic;benchmark;45382;Ergonomic;../fake-data/blob/hipster.txt;2021-07-29T03:03:31;architectures Verde;false;4
5;input;Savings Avon;71317;drive Intelligent;../fake-data/blob/hipster.txt;2021-07-28T14:54:03;Causeway Plastic;true;5
6;synthesizing Engineer;Programmable Harbor;54263;Wooden Investor;../fake-data/blob/hipster.txt;2021-07-29T01:50:46;Intelligent Darussalam maximize;true;6
7;maroon Bedfordshire Pound;Practical e-enable;98440;Berkshire;../fake-data/blob/hipster.txt;2021-07-28T10:18:37;online;false;7
8;up viral;Ergonomic Forward;95539;Avon;../fake-data/blob/hipster.txt;2021-07-29T04:16:21;withdrawal Fresh connect;false;8
9;Technician state;Yemen Architect orange;26631;Manager state Montana;../fake-data/blob/hipster.txt;2021-07-28T18:36:01;scalable;false;9
10;invoice open-source hack;withdrawal open-source bypassing;82653;Wooden strategy;../fake-data/blob/hipster.txt;2021-07-29T07:31:50;card;false;10
