id;path;type;value
1;Awesome capacity Cotton;deposit foreground generating;../fake-data/blob/hipster.txt
2;compress Frozen;CSS;../fake-data/blob/hipster.txt
3;Bedfordshire Paradigm Pizza;Hawaii;../fake-data/blob/hipster.txt
4;index;deposit Station;../fake-data/blob/hipster.txt
5;purple;Liaison sky blue;../fake-data/blob/hipster.txt
6;Licensed Soft Table;Salad repurpose Toys;../fake-data/blob/hipster.txt
7;Zloty;firewall Philippine Peso;../fake-data/blob/hipster.txt
8;Views;Director Intelligent;../fake-data/blob/hipster.txt
9;Ohio Unbranded Metal Bacon;Awesome;../fake-data/blob/hipster.txt
10;Car;local Borders Profound;../fake-data/blob/hipster.txt
