id;name;description;match_sp_el;icon
1;Universal AI;connecting Handcrafted Frozen Chicken scale;Automotive Cedi convergence;Money Market Account quantify service-desk
2;Handcrafted Steel Chips bypassing;system proactive Principal;Germany Rhode Island;Operations
3;Quality;viral Chair;Customer Practical protocol;SMTP partnerships
4;vortals;Fundamental;Devolved;Customer
5;compress customer loyalty Outdoors;Pants matrix;Usability Unbranded Concrete Shirt;Maine Sleek Cotton Pizza
6;hard drive Investment Account Yen;withdrawal;protocol Vista Road;Engineer hardware Ergonomic Frozen Mouse
7;Dynamic turquoise Drive;Qatari Rial Intelligent Fresh Chips back-end;Gorgeous Frozen Chicken;Guatemala Spurs Planner
8;capacitor Lead solid state;relationships European Unit of Account 17(E.U.A.-17) Unbranded Frozen Keyboard;sky blue;Home
9;primary extend hierarchy;Regional;alarm;hard drive
10;Albania Incredible Frozen Table Pants;Soft United Kingdom;JSON Borders wireless;navigating hard drive
