id;jhi_key;name;jhi_order;title;sub_title;nav_title;content;created_on;created_by;hide;product_id
1;Highway generate;Refined Fresh Gloves Summit;69611;program Hawaii Cloned;payment tan;quantifying Antarctica (the territory South of 60 deg S);../fake-data/blob/hipster.txt;2020-12-22T17:30:56;magnetic;false;1
2;Assurance Personal Loan Account Suriname;circuit Nicaragua New Jersey;63205;Sleek Fresh Gloves indexing;cross-platform SCSI;TCP JBOD;../fake-data/blob/hipster.txt;2020-12-22T23:27:37;Markets Savings Account;false;2
3;Checking Account;Refined Steel Chair;29778;HDD Armenian Dram;payment;communities;../fake-data/blob/hipster.txt;2020-12-23T06:06:28;Rustic;false;3
4;benchmark;Course;8593;open-source;relationships Credit Card Account;Checking Account;../fake-data/blob/hipster.txt;2020-12-23T03:14:21;reboot e-markets yellow;false;4
5;models;hard drive Checking Account;22098;firewall Causeway bandwidth;Outdoors;synthesizing recontextualize;../fake-data/blob/hipster.txt;2020-12-23T04:30:16;Idaho;true;5
6;Harbor Nevada Cove;Interactions;61433;zero tolerance Intelligent;Brunei Darussalam Maryland Investment Account;Cape Verde Escudo syndicate Bedfordshire;../fake-data/blob/hipster.txt;2020-12-23T04:37:20;feed paradigms mindshare;false;6
7;e-enable;Associate;49186;Chief Soft;Specialist Auto Loan Account;Greece;../fake-data/blob/hipster.txt;2020-12-23T01:50:57;Bolivia;false;7
8;Forward web services;Avon;92664;Technician;budgetary management PNG;Prairie Operative Technician;../fake-data/blob/hipster.txt;2020-12-22T11:54:17;Chief Mauritius Rupee Administrator;true;8
9;Georgia info-mediaries;parse;21260;solid state;Montana logistical;scalable;../fake-data/blob/hipster.txt;2020-12-22T13:55:12;Kina synthesizing;true;9
10;Baht;Consultant;64867;neural Up-sized;Licensed Fresh Soap Wooden virtual;5th generation Handmade Plastic Mouse Health;../fake-data/blob/hipster.txt;2020-12-22T17:31:14;Crest Georgia Rustic;true;10
