id;jhi_key;title;sub_title;nav_title;content;created_on;created_by
1;Generic Wooden Keyboard Maine Group;Summit Avon relationships;Shirt pixel;Brand;circuit Auto Loan Account;2020-12-23T01:39:56;Generic Cotton Tuna
2;Steel Open-architected fuchsia;Designer;Nevada;multimedia bus;plum Checking Account;2020-12-22T22:33:32;deposit web services New Zealand Dollar
3;auxiliary Bedfordshire;Gorgeous haptic;solid state;Consultant Home Loan Account;Ergonomic circuit;2020-12-22T14:29:49;Libyan Dinar Garden
4;Avon;Generic Wooden Tuna back-end teal;Cotton Customer tan;Communications Vermont SDD;Center Bedfordshire;2020-12-22T13:34:01;enhance turn-key Usability
5;USB revolutionary;SCSI;digital;strategy;orange eyeballs;2020-12-23T05:33:01;Incredible Concrete Pants
6;Keyboard;focus group COM;RAM Soft;Auto Loan Account Tasty;plum JBOD front-end;2020-12-23T04:07:29;Legacy bus deposit
7;pixel;Steel;withdrawal;Garden Investor withdrawal;Forest Lari Minnesota;2020-12-23T07:06:22;Lempira Computers feed
8;bandwidth-monitored next generation;Pennsylvania withdrawal Bosnia and Herzegovina;District invoice;Senior Internal;monitor complexity;2020-12-23T09:45:15;communities
9;FTP France;connect;Concrete deposit Right-sized;secondary;programming Concrete Refined Fresh Gloves;2020-12-23T00:26:55;Seychelles Rupee granular SMTP
10;Hill;synthesizing;Taka invoice 1080p;parsing Sri Lanka Rupee;Bolivar Fuerte;2020-12-22T18:05:59;Groves
