id;name;jhi_key;type;active;filter_artifacts_name;filter_artifacts_created_since;cron_expression;run_on_startup;spec_filter_sp_el;capability_key_sp_el;capability_name_sp_el;service_key_sp_el;service_name_sp_el;spec_key_sp_el;version_sp_el;product_release_name_sp_el;product_release_version_sp_el;product_release_key_sp_el;item_limit;overwrite_changes;bill_of_materials_coords;portal_id;product_id
1;Fantastic;relationships Refined;MAVEN;true;Gorgeous;2021-07-29;Supervisor North;true;Chair EXE;Account;Bike disintermediate;Gorgeous open-source Handmade;multi-byte attitude-oriented Metal;Regional;Pizza Soft;firewall Singapore info-mediaries;purple Bedfordshire JBOD;PNG;38445;true;user-centric;1;1
2;hacking Awesome Upgradable;users SMTP;BOAT_MAVEN_PLUGIN;false;digital array Inverse;2021-07-29;open;false;bluetooth;Gorgeous;Handmade Generic;Borders Automotive virtual;matrix integrate;Persevering;North Concrete Virginia;Profound;Dam;Mountains;47762;true;Brand input up;2;2
3;orchid Keyboard matrix;View harness;MAVEN;false;Tennessee driver;2021-07-29;Distributed microchip;true;Loan;Sleek Ball;Wooden 1080p;holistic productivity;Self-enabling Fresh;Sports auxiliary Table;Car Intuitive hacking;magenta;York Fish deliverables;neural Strategist Sports;78024;false;proactive Strategist Shoals;3;3
4;Metal invoice XSS;ivory;MAVEN;false;Bedfordshire;2021-07-30;navigating whiteboard;true;Usability primary;Austria;haptic;Borders PCI Research;Home;Tuna up;Mauritius Global;Unbranded hacking;ADP;Intelligent Mountains Checking;32741;true;deposit District neural;4;4
5;Factors invoice;National 24/365;MAVEN;true;Outdoors;2021-07-29;withdrawal;false;disintermediate;integrate;impactful California Assurance;deposit bypass;auxiliary Marketing;infomediaries;Games azure enable;Martinique payment bandwidth;hardware Optimization HDD;Baby Croatia;42875;false;Virginia frame;5;5
6;withdrawal;digital Arizona adapter;MAVEN;true;Extended cyan;2021-07-30;Viaduct withdrawal;false;deposit;matrices Bedfordshire olive;Corporate Intelligent redundant;withdrawal Metal;eyeballs California;encompassing International neural;yellow Configurable;France Incredible;Ameliorated;Gorgeous haptic grow;22580;true;Intranet Corporate;6;6
7;Washington;generating;BOAT_MAVEN_PLUGIN;true;Forint 24/7 Pataca;2021-07-29;card Indiana Cotton;false;Illinois bluetooth PCI;Dynamic;Account;Pants;mindshare feed;application;USB frictionless;indigo;system;Automotive e-tailers;29869;true;mesh;7;7
8;optimize Sports Dale;Metal Books;MAVEN;false;Consultant demand-driven;2021-07-29;multi-state Strategist Kansas;false;yellow Games;Avon;Kids Awesome bypass;Azerbaijan payment override;synergistic Czech Chips;Sports Money azure;Specialist;Auto Practical Jewelery;Practical deposit Manors;network;30572;false;Money;8;8
9;Algeria;Ohio National compressing;BOAT_MAVEN_PLUGIN;false;grid-enabled;2021-07-29;blue;true;Germany;archive;Soap withdrawal;revolutionize;generating Granite;Licensed Metrics markets;payment Tasty;sensor;withdrawal copy Loan;capacitor programming infomediaries;78858;true;Representative;9;9
10;lavender;Indiana protocol;MAVEN;false;deposit;2021-07-29;Chips asynchronous Progressive;false;haptic Syrian;Buckinghamshire encompassing directional;syndicate Tennessee;Dynamic bandwidth communities;COM;Awesome up eyeballs;JBOD reboot Pre-emptive;Tuna Rustic Chicken;communities;Global;79458;true;Illinois Intelligent Marketing;10;10
