id;name;description;match_sp_el;icon
1;Universal visualize;Frozen transmitter;Cedi Caicos integrated;copying
2;Computer system Frozen;Rhode;Herzegovina Mexican e-business;Customer mindshare Cambridgeshire
3;Intelligent Forks;Bike Outdoors;compress Assimilated Cayman;Account
4;Concrete Maine Berkshire;drive visualize Generic;protocol Architect parsing;paradigms
5;Salad deposit Drive;deposit parsing Concrete;Developer;web-enabled Planner
6;Factors state architectures;Unbranded sky Home;Fantastic hierarchy Regional;deposit Carolina Movies
7;Drive Cambodia Kingdom;Applications wireless navigating;calculate Arkansas;deposit platforms
8;Springs Health Cheese;bypassing Cheese;Outdoors magnetic;Senior
9;Car haptic;Berkshire Soft;Borders;Shirt
10;Bacon;Haven;wireless circuit;Incredible
