id;name;description;hide;color
1;Branding Jewelery Plastic;../fake-data/blob/hipster.txt;false;mint green
2;FTP back-end Diverse;../fake-data/blob/hipster.txt;false;mint green
3;Operations;../fake-data/blob/hipster.txt;false;sky blue
4;applications;../fake-data/blob/hipster.txt;false;cyan
5;Dynamic Small;../fake-data/blob/hipster.txt;false;purple
6;Incredible Steel Cheese;../fake-data/blob/hipster.txt;false;plum
7;regional open system Rustic Frozen Ball;../fake-data/blob/hipster.txt;true;black
8;haptic strategize Tunisian Dinar;../fake-data/blob/hipster.txt;true;tan
9;Wyoming;../fake-data/blob/hipster.txt;true;plum
10;Human Pizza;../fake-data/blob/hipster.txt;false;lime
