id;rule_set_id;name;description;external_url
1;Marketing Uganda Shilling pink;Designer driver Iranian Rial;../fake-data/blob/hipster.txt;client-driven
2;haptic;transitional;../fake-data/blob/hipster.txt;application Ridge Corporate
3;Small Slovenia compressing;SDD Baby Incredible Plastic Chicken;../fake-data/blob/hipster.txt;Sharable bluetooth
4;instruction set Manager SMS;Personal Loan Account global Personal Loan Account;../fake-data/blob/hipster.txt;mission-critical Hungary orchestrate
5;Intelligent Granite Bike virtual;Bacon Borders hard drive;../fake-data/blob/hipster.txt;Integration
6;Refined Wooden Ball;communities;../fake-data/blob/hipster.txt;Tuna Books East Caribbean Dollar
7;enhance cutting-edge;Books empowering reboot;../fake-data/blob/hipster.txt;indexing Awesome Plastic Chips
8;Marketing;Generic;../fake-data/blob/hipster.txt;niches salmon
9;Intelligent;index;../fake-data/blob/hipster.txt;Saint Kitts and Nevis
10;Robust;zero tolerance olive;../fake-data/blob/hipster.txt;Salad
