id;jhi_key;name;jhi_order;sub_title;content;created_on;created_by;hide;product_id
1;Highway Lesotho;FTP SMS program;21070;Awesome;../fake-data/blob/hipster.txt;2021-07-29T18:11:45;Borders;true;1
2;Clothing magnetic;Assurance Global card;52375;Jersey paradigms;../fake-data/blob/hipster.txt;2021-07-29T15:36:12;indexing;true;2
3;SCSI TCP;Junctions benchmark infrastructures;4628;Refined;../fake-data/blob/hipster.txt;2021-07-29T20:43:51;Credit olive Cotton;false;3
4;Rustic;benchmark;45382;Ergonomic;../fake-data/blob/hipster.txt;2021-07-30T06:12:26;architectures Verde;false;4
5;input;Savings Avon;71317;drive Intelligent;../fake-data/blob/hipster.txt;2021-07-29T18:02:58;Causeway Plastic;true;5
6;synthesizing Engineer;Programmable Harbor;54263;Wooden Investor;../fake-data/blob/hipster.txt;2021-07-30T04:59:41;Intelligent Darussalam maximize;true;6
7;maroon Bedfordshire Pound;Practical e-enable;98440;Berkshire;../fake-data/blob/hipster.txt;2021-07-29T13:27:32;online;false;7
8;up viral;Ergonomic Forward;95539;Avon;../fake-data/blob/hipster.txt;2021-07-30T07:25:16;withdrawal Fresh connect;false;8
9;Technician state;Yemen Architect orange;26631;Manager state Montana;../fake-data/blob/hipster.txt;2021-07-29T21:44:56;scalable;false;9
10;invoice open-source hack;withdrawal open-source bypassing;82653;Wooden strategy;../fake-data/blob/hipster.txt;2021-07-30T10:40:45;card;false;10
