id;jhi_key;name;jhi_order;sub_title;description;icon;color;created_on;created_by;hide;capability_id
1;impactful silver;Corporate;11536;quantifying ADP;../fake-data/blob/hipster.txt;Armenia Fresh seamless;teal;2020-12-27T21:03:20;auxiliary International;true;1
2;neural paradigms Cross-platform;Bedfordshire;75258;Fantastic Concrete Computer Ergonomic Infrastructure;../fake-data/blob/hipster.txt;Handcrafted Wooden Tuna;fuchsia;2020-12-27T20:53:45;Belize Dollar Manager;false;2
3;Tasty Metal Fish back-end JSON;North Dakota Auto Loan Account;56069;Generic Steel Computer Awesome Cotton Table;../fake-data/blob/hipster.txt;withdrawal vertical applications;red;2020-12-27T11:45:17;deposit synthesize;false;3
4;client-driven Kentucky;Buckinghamshire parsing withdrawal;69728;incremental Shirt;../fake-data/blob/hipster.txt;Shoes invoice synthesize;lavender;2020-12-28T07:26:20;hack XSS;true;4
5;Arkansas;Small;92898;Plastic;../fake-data/blob/hipster.txt;Directives Berkshire;lavender;2020-12-28T03:21:17;backing up application channels;false;5
6;port web services;Enhanced back up;78516;Identity parsing;../fake-data/blob/hipster.txt;Vietnam Persistent Music;azure;2020-12-27T11:16:42;connect;false;6
7;Senior Switchable;architectures Baby;52346;deposit Djibouti Franc;../fake-data/blob/hipster.txt;Credit Card Account circuit;azure;2020-12-28T01:43:57;online Paradigm Profit-focused;false;7
8;North Carolina Mongolia;Borders deposit;65659;programming;../fake-data/blob/hipster.txt;withdrawal;magenta;2020-12-28T08:38:53;access Grocery;false;8
9;Handcrafted Wooden Hat ubiquitous;static Garden;29208;Cambridgeshire Handmade Rubber Chips;../fake-data/blob/hipster.txt;Fresh Unbranded Frozen Table;salmon;2020-12-27T17:29:56;throughput access B2C;false;9
10;Upgradable networks;ADP relationships Communications;85485;Small Rubber Shoes;../fake-data/blob/hipster.txt;Israel array;silver;2020-12-27T20:19:15;deliver;false;10
