id;jhi_key;name;jhi_order;content;created_on;created_by;hide;portal_id
1;Generic Steel Tuna;website calculating;57374;../fake-data/blob/hipster.txt;2020-12-29T16:43:03;support Consultant;false;1
2;wireless Computer;Legacy Dynamic magenta;46955;../fake-data/blob/hipster.txt;2020-12-29T15:20:43;actuating THX;false;2
3;Centers Steel Credit Card Account;networks infomediaries;57853;../fake-data/blob/hipster.txt;2020-12-30T01:49:27;throughput;true;3
4;Internal compressing;withdrawal Bedfordshire;4189;../fake-data/blob/hipster.txt;2020-12-29T21:40:46;Bedfordshire intranet Drive;false;4
5;Small Wooden Bike Licensed Wooden Computer Oklahoma;aggregate throughput Practical;94963;../fake-data/blob/hipster.txt;2020-12-29T16:52:23;distributed Dynamic auxiliary;true;5
6;COM Personal Loan Account yellow;Cape Verde;40746;../fake-data/blob/hipster.txt;2020-12-30T05:36:11;homogeneous withdrawal;false;6
7;CSS Liaison;Keyboard;47207;../fake-data/blob/hipster.txt;2020-12-29T14:52:11;Ergonomic Concrete Ball SMS;true;7
8;methodical;quantifying Cheese rich;78011;../fake-data/blob/hipster.txt;2020-12-29T22:19:01;Underpass virtual open-source;true;8
9;Fantastic;Sleek Soft Sausages Practical;86012;../fake-data/blob/hipster.txt;2020-12-30T06:11:40;lavender wireless navigate;false;9
10;Harbors backing up;Massachusetts Checking Account Gorgeous Fresh Ball;9545;../fake-data/blob/hipster.txt;2020-12-30T10:32:42;Ergonomic Metal Keyboard full-range Cambridgeshire;true;10
