id;name;type;base_url;active;filter_artifacts_name;filter_artifacts_created_since;username;password;cron_expression;run_on_startup;spec_filter_sp_el;capability_key_sp_el;capability_name_sp_el;service_key_sp_el;service_name_sp_el;spec_key_sp_el;version_sp_el;overwrite_changes;portal_id;product_id
1;Fantastic;GIT;deposit Automotive auxiliary;false;Refined;2020-12-22;Kids North Dakota e-commerce;Licensed Metal Chair Agent;backing up Checking Account;true;Unbranded Frozen Bike Identity;iterate Gorgeous;open-source Automated capacitor;ivory multi-byte compressing;green;payment Bedfordshire Regional;Savings Account SQL;false;1;1
2;Outdoors firewall payment;GIT;Bedfordshire Internal Supervisor;false;compress productize Plastic;2020-12-22;optical Bacon;Rhode Island;Usability;false;compress SMTP;dot-com PNG;Swedish Krona;Exclusive markets;empowering Iceland Krona transform;deposit Wooden mission-critical;Handmade California;true;2;2
3;Latvian Lats;JFROG;Table matrix;true;Movies white;2020-12-22;Naira withdrawal Incredible Concrete Sausages;West Virginia Corporate;invoice;false;Keyboard info-mediaries;Health SDR;Small Soft Cheese mindshare Sports;orchid Rustic Wooden Pizza matrix;Investment Account Paradigm;granular Money Market Account;Tennessee Realigned;false;3;3
4;ADP;FILE_SYSTEM;toolset;false;indexing deposit;2020-12-23;Gorgeous Wooden Ball connecting Wooden;1080p extensible holistic;productivity District;false;Botswana Product driver;application Health Table;hack;Future;Buckinghamshire Wooden;magenta;Planner;true;4;4
5;Fish Lake synthesize;GIT;Licensed Steel Chips proactive invoice;true;Shoals Oklahoma;2020-12-23;Point Product XSS;Electronics copy;Ball Bedfordshire Money Market Account;true;web-readiness whiteboard transmitting;Usability SAS;Bike;Handcrafted Concrete Bacon Eritrea;Borders user-centric syndicate;Cotton migration Idaho;Tuna Producer;false;5;5
6;Macedonia Connecticut Global;BOAT_MAVEN_PLUGIN;Bedfordshire;true;Buckinghamshire Intelligent Steel Pizza;2020-12-23;Sweden Checking Account;knowledge base THX;Chief;false;neural;United Arab Emirates;THX Principal Trinidad and Tobago;FTP cultivate;Specialist Outdoors;National;Pre-emptive ROI;false;6;6
7;white integrate;HTTP;well-modulated;true;expedite;2020-12-23;bypass Web auxiliary;Marketing synergies;Malaysian Ringgit backing up;false;azure Investment Account;Fish;Bhutan payment;bandwidth invoice hardware;Optimization;HDD Orchestrator;invoice;true;7;7
8;killer;JFROG;Fully-configurable withdrawal;false;digital Mauritania Fantastic Plastic Chair;2020-12-22;haptic Extended Bedfordshire;index web-enabled Paradigm;heuristic Ergonomic Metal Car;false;matrices payment Cloned;invoice;Corporate Program grey;Licensed;District withdrawal;Metal COM eyeballs;California Shoes;false;8;8
9;Vermont Rand;JFROG;Administrator;true;Bhutan;2020-12-23;Bike Tools bypassing;Jewelery;Investment Account Viaduct;false;West Virginia South Dakota;Wooden Rubber Solutions;generating;Soft;Rupiah Indian Rupee Synchronised;Venezuela application card;Indiana;false;9;9
10;applications;JFROG;bluetooth Texas;false;Unbranded Metal Towels Rubber;2020-12-22;Wooden rich Lights;Re-contextualized panel Soft;Jordanian Dinar USB Future-proofed;false;Intelligent override;open system;Avon Accountability e-tailers;productivity Fantastic;policy optimize;Sports;Dale;false;10;10
