id;jhi_key;name;version;release_date;hide;product_id
1;Hat Customer teal;functionalities;Generic integrated back;2021-07-28T14:02:02;true;1
2;Kenya Infrastructure front-end;interface Global;portal;2021-07-28T15:39:30;true;2
3;azure;COM Rustic;Account firewall;2021-07-28T22:05:42;true;3
4;Quality-focused Buckinghamshire Azerbaijan;bluetooth neural face;Dakota Jordan;2021-07-29T01:40:31;false;4
5;deposit bypassing;integrate infrastructure;withdrawal;2021-07-28T11:55:33;true;5
6;navigate withdrawal Future;Account calculating;Investment Legacy;2021-07-29T06:50:50;true;6
7;invoice gold encoding;Accountability;networks Czech SDD;2021-07-28T09:56:15;false;7
8;Multi-channelled;transmit leading-edge Intelligent;Division Movies Granite;2021-07-29T00:22:03;false;8
9;Czech invoice;Toys;Sausages monetize visualize;2021-07-28T11:00:50;false;9
10;expedite SDD;violet International;schemas integrated PNG;2021-07-28T13:46:20;true;10
