id;rule_id;title;rule_set;summary;severity;description;external_url;enabled;portal_id
1;Configurable 1080p Representative;Assistant global Wyoming;protocol Forint;Macao wireless;MUST;Bike Avon Views;Seamless Delaware Pataca;true;1
2;stable invoice Field;Borders Savings Account;Interactions;neural;MAY;bus red;Incredible Concrete Table;true;2
3;Cheese Licensed Wooden Cheese;Cambridgeshire;Specialist Sleek Unbranded;neural-net invoice;MAY;Oklahoma;Operations;false;3
4;monitor magenta;asymmetric;Concrete cultivate Coordinator;SAS Upgradable;MUST;Mouse;Generic;true;4
5;Reduced Health attitude;Keyboard;streamline Ergonomic scalable;matrix uniform Wooden;SHOULD;system engine;Handmade Cambridgeshire portal;false;5
6;Customer-focused orchestrate;Saint Barthelemy wireless;deposit;integrate Cuban Peso Peso Convertible Avon;MUST;Digitized;Facilitator;false;6
7;Officer utilisation Hong Kong;SCSI static Central;invoice Sudanese Pound;Hat Rustic Metal Fish synthesize;HINT;Shoes;grow Islands;true;7
8;intuitive indexing e-enable;Islands;bypass;magenta Fresh;MUST;microchip Officer web-readiness;Ranch overriding CFA Franc BEAC;true;8
9;full-range;Sausages plum Garden;Books Plastic;Open-source;SHOULD;Unbranded Ethiopian Birr;Money Market Account;false;9
10;Fantastic Steel Shoes 1080p Gorgeous Frozen Mouse;overriding;didactic;Handmade Bike;MUST;PCI Specialist Wyoming;Plastic;true;10
