id;jhi_key;name;jhi_order;sub_title;description;icon;color;created_on;created_by;hide;capability_id
1;impactful Manager;Rubber;65096;infomediaries Fresh salmon;../fake-data/blob/hipster.txt;Outdoors Internal indexing;white;2021-07-30T08:42:48;Bedfordshire;true;1
2;end-to-end;Tasty;9711;Dollar;../fake-data/blob/hipster.txt;Jersey Frozen zero;silver;2021-07-29T18:40:49;back-end Customer payment;true;2
3;Generic Minnesota;withdrawal Chair Port;75888;Pants Soap XML;../fake-data/blob/hipster.txt;Technician Sri Cameroon;gold;2021-07-30T07:32:02;invoice Palladium;false;3
4;Fresh Franc Car;Plastic;95370;Berkshire;../fake-data/blob/hipster.txt;Peso;pink;2021-07-30T10:07:26;grey port;true;4
5;Enhanced Jewelery;revolutionize EXE Persistent;12356;Associate Canyon Senior;../fake-data/blob/hipster.txt;Michigan Baby Credit;magenta;2021-07-30T06:46:25;Account Chief;true;5
6;View Profit-focused Hampshire;Nebraska Credit;65659;programming;../fake-data/blob/hipster.txt;national Heights;red;2021-07-30T00:54:32;Avon Granite;true;6
7;static B2B;Senior Zambia;13566;Frozen application Paradigm;../fake-data/blob/hipster.txt;even-keeled Upgradable;gold;2021-07-29T14:31:55;content Communications green;true;7
8;back-end array;Shirt Granite;70186;Frozen cyan;../fake-data/blob/hipster.txt;convergence Car;lime;2021-07-30T02:50:48;clicks-and-mortar;false;8
9;Corner;Concrete Cambridgeshire;95428;Account hack black;../fake-data/blob/hipster.txt;Turnpike;black;2021-07-30T05:50:51;cross-platform;true;9
10;cyan;calculate convergence;34277;productize wireless National;../fake-data/blob/hipster.txt;black Gateway compressing;tan;2021-07-29T15:30:25;Fantastic pink Lev;false;10
