id;name;jhi_key;type;base_url;active;filter_artifacts_name;filter_artifacts_created_since;username;password;cron_expression;run_on_startup;spec_filter_sp_el;capability_key_sp_el;capability_name_sp_el;service_key_sp_el;service_name_sp_el;spec_key_sp_el;version_sp_el;product_release_name_sp_el;product_release_version_sp_el;product_release_key_sp_el;item_limit;overwrite_changes;options;portal_id;product_id
1;Fantastic;relationships Refined;MAVEN;Music Refined Supervisor;true;e-commerce Chair;2021-07-28;up Generic;Principal;disintermediate Direct transmitter;false;capacitor;transmit;attitude-oriented Metal cyan;Account bi-directional;USB;Singapore info-mediaries;purple Bedfordshire JBOD;PNG;Research PCI;Bacon Rhode Usability;42020;true;../fake-data/blob/hipster.txt;1;1
2;SMTP;Cambridgeshire Chicken;HTTP;Inverse;true;open;2021-07-28;bluetooth;Gorgeous;Handmade Generic;true;withdrawal Regional;Table Communications;Soap;North Concrete Virginia;Profound;Dam;Mountains;SDR Soft;Sports orchid Keyboard;Administrator View harness;61107;false;../fake-data/blob/hipster.txt;2;2
3;Tennessee driver;communities optimal toolset;FILE_SYSTEM;Points Cambridgeshire client-driven;true;Wooden 1080p;2021-07-28;Technician solid;haptic;non-volatile calculating Health;false;hack;Intuitive hacking Intelligent;Planner;Fish deliverables Forward;Strategist;bypassing;Director;Strategist Shoals;Metal invoice XSS;ivory;70831;false;../fake-data/blob/hipster.txt;3;3
4;Bedfordshire;invoice;GIT;Dollar Virginia;true;Rustic Austria Sharable;2021-07-29;Borders PCI Research;Home;Tuna up;true;Connecticut Berkshire;Program;Bedfordshire;Buckinghamshire red;Mountains;Practical Utah;Chief;neural;Factors invoice;National 24/365;54072;true;../fake-data/blob/hipster.txt;4;4
5;Outdoors;moderator Investment disintermediate;JFROG;Fresh Borders;false;microchip deposit bypass;2021-07-28;Frozen Grocery South;sticky;enable drive;false;bus Metal;eyeballs;Tunnel Orchestrator;Designer killer;Virginia frame;withdrawal;digital Arizona adapter;haptic incremental USB;Viaduct withdrawal;Pants;32180;true;../fake-data/blob/hipster.txt;5;5
6;Bedfordshire olive;Corporate Intelligent redundant;HTTP;users invoice;false;Home;2021-07-29;encompassing International neural;yellow Configurable;France Incredible;false;Tools;Adaptive;Investment Integration;Intranet Corporate;Washington;generating;input;New SMTP;application flexibility executive;bypassing Illinois;79996;true;../fake-data/blob/hipster.txt;6;6
7;PCI Unbranded;Texas Pants;HTTP;program panel;true;Dinar port knowledge;2021-07-29;mint Taiwan Automotive;middleware primary;policy Gorgeous;false;maximize;HTTP Texas;Consultant demand-driven;compressing productize Organic;Multi-layered;UAE;Multi-tiered Developer Auto;Pike bypass;Azerbaijan payment override;synergistic Czech Chips;86029;false;../fake-data/blob/hipster.txt;7;7
8;Generic Lead Specialist;Auto Practical Jewelery;MAVEN;users;false;Manors;2021-07-29;Washington;Persistent;intermediate;false;Ohio National compressing;Bedfordshire;incremental blue;Sleek archive;Soap withdrawal;revolutionize;generating Granite;Licensed Metrics markets;payment Tasty;sensor;73105;true;../fake-data/blob/hipster.txt;8;8
9;USB Plains;Producer transmit;MAVEN;Ruble Arizona;true;composite Open-architected;2021-07-29;protocol Security;Rubber Officer;asynchronous Progressive;false;haptic Syrian;Buckinghamshire encompassing directional;syndicate Tennessee;Dynamic bandwidth communities;COM;Awesome up eyeballs;JBOD reboot Pre-emptive;Tuna Rustic Chicken;communities;Global;79458;true;../fake-data/blob/hipster.txt;9;9
10;Illinois Intelligent Marketing;Supervisor;JFROG;Tools visionary synergies;false;mint withdrawal Minnesota;2021-07-28;projection calculate;algorithm systems framework;Arab Israeli;true;experiences Dynamic;Frozen Loan Salad;grey Gateway harness;Assurance;Cuba;PCI Towels Rubber;Books;Chair Iceland Managed;maximized payment bypassing;Triple-buffered unleash;42012;false;../fake-data/blob/hipster.txt;10;10
