id;jhi_key;name;sub_title;logo_url;logo_link;content;created_on;created_by;hide;linted
1;Functionality hacking robust;Analyst;Concrete;Dynamic;Account;../fake-data/blob/hipster.txt;2021-07-29T04:04:46;enhance Arkansas;false;false
2;Future-proofed JSON Innovative;SQL;programming Bedfordshire;deploy;Account cross-platform parse;../fake-data/blob/hipster.txt;2021-07-28T21:40:00;Cheese;false;false
3;Consultant frame Tasty;Principal;Buckinghamshire indexing;niches;Center application;../fake-data/blob/hipster.txt;2021-07-28T16:35:16;firewall Central;false;true
4;compress;wireless Grove New;content cross-platform Outdoors;efficient capacity Creative;Somoni Beauty Account;../fake-data/blob/hipster.txt;2021-07-28T18:28:42;system Principal Shirt;true;true
5;Cambridgeshire firewall;foreground utilisation;Buckinghamshire impactful Japan;success;Wooden;../fake-data/blob/hipster.txt;2021-07-29T03:37:05;Identity Orchestrator Naira;false;false
6;View;optical panel platforms;calculating Rial;compelling transparent;Administrator Technician Wooden;../fake-data/blob/hipster.txt;2021-07-28T17:19:30;optical invoice cyan;true;true
7;seize asymmetric Metal;silver invoice;initiatives green;Ohio;protocol Developer e-markets;../fake-data/blob/hipster.txt;2021-07-29T06:03:51;Idaho;false;true
8;Chilean deposit Coordinator;array motivating;De-engineered;Investment;Inverse Salad Pizza;../fake-data/blob/hipster.txt;2021-07-28T13:56:17;Oklahoma Gorgeous;false;false
9;envisioneer bypassing;Metical generation;payment;FTP Salad Metrics;array;../fake-data/blob/hipster.txt;2021-07-29T05:36:00;Industrial;true;false
10;Officer;olive Trafficway Account;synthesize Greenland;Realigned;Planner multimedia;../fake-data/blob/hipster.txt;2021-07-28T21:06:58;sensor;true;false
