id;name;description;url;severity;line_start;line_end;json_pointer;lint_rule_id
1;Avon Cross-group;../fake-data/blob/hipster.txt;https://richie.biz;MUST;58613;17250;action-items calculating;1
2;Account deliverables asymmetric;../fake-data/blob/hipster.txt;https://kayley.biz;HINT;22947;99132;Reverse-engineered;2
3;scale;../fake-data/blob/hipster.txt;https://jillian.net;MAY;83114;33589;bandwidth-monitored;3
4;Philippine Clothing blue;../fake-data/blob/hipster.txt;https://delores.info;MAY;91653;46387;Accounts scalable microchip;4
5;matrices;../fake-data/blob/hipster.txt;http://jaqueline.org;MUST;31495;19167;firewall;5
6;feed Coordinator Designer;../fake-data/blob/hipster.txt;https://jena.name;MAY;49021;93899;Concrete superstructure;6
7;Account quantify;../fake-data/blob/hipster.txt;http://theodore.info;MAY;94816;84359;engage Specialist;7
8;Account orange Senior;../fake-data/blob/hipster.txt;https://dawn.com;SHOULD;16473;57575;repurpose mindshare card;8
9;Kazakhstan Granite matrix;../fake-data/blob/hipster.txt;https://brando.biz;HINT;97708;70133;strategy Computer;9
10;Valleys Toys architecture;../fake-data/blob/hipster.txt;http://emmett.name;MAY;83392;19672;connect;10
