id;name;description;hide;color
1;Branding back-end circuit;../fake-data/blob/hipster.txt;true;pink
2;Concrete Digitized Operations;../fake-data/blob/hipster.txt;true;red
3;SSL Vermont;../fake-data/blob/hipster.txt;false;red
4;Keyboard;../fake-data/blob/hipster.txt;false;green
5;matrix regional Barbados;../fake-data/blob/hipster.txt;true;black
6;neutral Haiti Dinar;../fake-data/blob/hipster.txt;true;orange
7;Producer iterate;../fake-data/blob/hipster.txt;false;fuchsia
8;feed capacitor;../fake-data/blob/hipster.txt;true;turquoise
9;e-business optimize Principal;../fake-data/blob/hipster.txt;false;silver
10;Hawaii reboot;../fake-data/blob/hipster.txt;false;lime
