id;created_on;created_by;file;file_content_type;file_name;processed;action;error
1;2020-12-22T23:58:24;Engineer;../fake-data/blob/hipster.png;image/png;Illinois;true;Chilean Peso Unidades de fomento;mobile
2;2020-12-23T09:45:51;Serbian Dinar;../fake-data/blob/hipster.png;image/png;Cambridgeshire front-end Cuban Peso Peso Convertible;true;Bhutan 3rd generation drive;Team-oriented Home Loan Account
3;2020-12-22T14:30:05;Crossroad Cambridgeshire;../fake-data/blob/hipster.png;image/png;firewall green;false;grey Turkish Lira;policy Handcrafted
4;2020-12-23T01:01:59;Haiti visualize;../fake-data/blob/hipster.png;image/png;Implemented Tasty Proactive;true;program Credit Card Account Chief;Investment Account HTTP Berkshire
5;2020-12-22T15:27:21;Cayman Islands Dollar;../fake-data/blob/hipster.png;image/png;Agent;true;Senior;orchestration Consultant
6;2020-12-22T16:21:02;Mobility Outdoors;../fake-data/blob/hipster.png;image/png;methodologies;false;Jamaican Dollar Response;Developer
7;2020-12-22T15:19:59;Unbranded Passage back-end;../fake-data/blob/hipster.png;image/png;Home;false;Keyboard Intelligent Soft Ball Health;back-end firewall Borders
8;2020-12-23T04:27:46;Virginia Intelligent;../fake-data/blob/hipster.png;image/png;Money Market Account dynamic unleash;false;Metical;Nebraska Credit Card Account
9;2020-12-23T09:57:44;Bacon;../fake-data/blob/hipster.png;image/png;invoice program Incredible Granite Chicken;true;JBOD;calculating black generate
10;2020-12-23T02:24:13;Bedfordshire;../fake-data/blob/hipster.png;image/png;Savings Account;true;override;Cape Verde Haiti indigo
